,Cat #01,,,Cat #02,,,Cat #03,,,Cat #04,,,Cat #05,,,Cat #06,,,Cat #07,,,Cat #08,,,Cat #09,,,Cat #10,,
,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar
530,0.17726,0.8548,0.055103,0.099123,0.80507,0.065047,0.19188,0.88663,0.054254,0.18729,0.84205,0.054594,0.091194,0.84313,0.071718,0.23418,0.83548,0.043519,0.12478,0.83103,0.070064,0.19143,0.81846,0.047266,0.17462,0.81634,0.051892,0.12915,0.85228,0.061905
535,0.23112,0.90268,0.046516,0.14993,0.86018,0.053817,0.24778,0.9341,0.046145,0.24295,0.89038,0.04581,0.13834,0.90158,0.059178,0.2897,0.87218,0.037339,0.17359,0.88623,0.057225,0.23978,0.85539,0.040339,0.2268,0.8566,0.043517,0.18006,0.90366,0.051824
540,0.2949,0.94802,0.040346,0.21389,0.916,0.045995,0.31486,0.97627,0.040113,0.30446,0.93366,0.039555,0.20279,0.95521,0.050054,0.35492,0.90987,0.032821,0.23132,0.93991,0.048389,0.29788,0.89378,0.035445,0.28952,0.89989,0.037741,0.24614,0.95099,0.044464
545,0.35986,0.97277,0.035327,0.28193,0.95113,0.039911,0.38549,0.99621,0.034922,0.36376,0.95433,0.034518,0.28638,0.99082,0.042638,0.42818,0.93497,0.02886,0.29061,0.97507,0.041839,0.36196,0.91747,0.031311,0.35523,0.92705,0.033073,0.31927,0.97585,0.038355
550,0.42333,0.97798,0.030883,0.35083,0.96955,0.034908,0.45008,0.995,0.030325,0.43007,0.965,0.030171,0.35554,1.0051,0.036961,0.48979,0.93736,0.025226,0.35428,0.98878,0.036337,0.42211,0.9219,0.027532,0.41921,0.93384,0.028856,0.3866,0.98405,0.033385
555,0.49586,0.98552,0.027086,0.43251,0.9912,0.030777,0.52192,0.99532,0.026347,0.5044,0.97571,0.02642,0.42453,1.0151,0.032485,0.54912,0.93843,0.022184,0.42854,1.0029,0.031844,0.48714,0.92839,0.024332,0.49226,0.94417,0.02527,0.46616,0.99346,0.029079
560,0.57445,0.97899,0.023024,0.52124,0.99488,0.026385,0.60147,0.98283,0.022063,0.58276,0.97085,0.022417,0.51552,1.0141,0.027642,0.6232,0.93328,0.018689,0.50827,1.0034,0.027471,0.5625,0.92453,0.020729,0.57179,0.94211,0.021429,0.55321,0.98748,0.024522
565,0.65615,0.96863,0.019028,0.61693,0.99719,0.022174,0.68145,0.96543,0.017872,0.66649,0.96283,0.018433,0.60654,1.008,0.023141,0.69406,0.92093,0.015215,0.59519,1.0005,0.023248,0.63961,0.91616,0.017126,0.65465,0.93602,0.017613,0.64508,0.97821,0.020071
570,0.74421,0.94708,0.014526,0.72181,0.98674,0.017375,0.76707,0.93727,0.013202,0.75499,0.94234,0.01395,0.71047,0.99097,0.018036,0.77003,0.89983,0.011307,0.68994,0.98664,0.018613,0.72404,0.89837,0.013005,0.74334,0.91972,0.013338,0.74493,0.95719,0.015079
575,0.82642,0.9117,0.0097675,0.82173,0.95982,0.012231,0.84627,0.89617,0.0083251,0.83338,0.90486,0.0092327,0.81733,0.96033,0.012446,0.84242,0.86716,0.0071067,0.78274,0.95863,0.013648,0.80645,0.86883,0.0085462,0.82736,0.89034,0.0087863,0.8407,0.92138,0.009754
