,Cat #01,,,Cat #02,,,Cat #03,,,Cat #04,,,Cat #05,,,Cat #06,,,Cat #07,,,Cat #08,,,Cat #09,,,Cat #10,,
,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
565,4.2929,4.6453,0.0041466,4.3471,4.9002,0.0063135,4.3127,4.5748,0.0037257,4.2849,4.5889,0.0043154,4.3731,4.9878,0.0068527,4.1683,4.2753,0.0025273,4.3319,4.9641,0.0069463,4.0839,4.3554,0.0031068,4.1739,4.4475,0.0039143,4.3137,4.7267,0.0051718
570,4.3243,4.3355,0.0025671,4.4392,4.6248,0.0039727,4.3173,4.2291,0.0022893,4.3206,4.2846,0.0026854,4.4404,4.6737,0.0042606,4.1864,3.9926,0.001557,4.3994,4.6883,0.0043268,4.1243,4.076,0.0019224,4.2249,4.1688,0.0024316,4.3615,4.3964,0.0032133
575,4.2987,3.9524,0.0015974,4.4659,4.2582,0.0025125,4.2674,3.8168,0.0014137,4.2827,3.8963,0.0016796,4.4623,4.2701,0.0026624,4.1584,3.6459,0.00096422,4.4135,4.3292,0.0027086,4.1199,3.7285,0.0011955,4.2231,3.8189,0.001518,4.3511,3.9833,0.0020066
580,4.2071,3.4941,0.0010006,4.4291,3.8093,0.0016002,4.1479,3.3426,0.00087846,4.2262,3.4555,0.0010577,4.402,3.7975,0.0016748,4.0496,3.2254,0.00060141,4.3577,3.8726,0.0017061,4.0436,3.3046,0.00074838,4.1449,3.3883,0.0009535,4.2772,3.5169,0.0012612
585,4.1532,3.0671,0.00063171,4.4217,3.3789,0.0010245,4.07,2.9122,0.00055055,4.1783,3.0413,0.00067081,4.3412,3.3515,0.001061,3.9472,2.8237,0.00037844,4.3316,3.4232,0.0010814,3.9891,2.9031,0.00047212,4.0977,2.9768,0.00060285,4.2377,3.0845,0.00079827
590,4.0379,2.6426,0.00040253,4.3366,2.935,0.00066206,3.9395,2.4879,0.00034837,4.0494,2.6129,0.00042938,4.2737,2.8909,0.00067845,3.8447,2.4381,0.0002403,4.2475,2.9834,0.00069214,3.9035,2.5093,0.00030065,4.0036,2.5769,0.0003849,4.1322,2.6427,0.00051007
595,3.8621,2.2094,0.00025915,4.1853,2.4754,0.00043239,3.7489,2.0633,0.00022256,3.8742,2.1824,0.00027774,4.1237,2.422,0.00043825,3.6668,2.0428,0.00015431,4.0965,2.5226,0.00044715,3.7509,2.1043,0.00019338,3.8412,2.1647,0.00024802,3.9655,2.2011,0.00032915
600,3.6387,1.7983,0.0001686,3.9577,2.0219,0.00028383,3.5219,1.6698,0.000144,3.641,1.7693,0.00018124,3.9089,1.9706,0.00028568,3.4453,1.6677,0.00010027,3.8832,2.0702,0.00029126,3.5496,1.7176,0.00012572,3.6243,1.7676,0.00016126,3.7439,1.7811,0.0002144
605,3.3859,1.426,0.00011103,3.7036,1.6137,0.00018907,3.2654,1.3152,9.43E-05,3.3764,1.4,0.0001198,3.6725,1.5634,0.00018864,3.2036,1.3262,6.59E-05,3.6411,1.6582,0.00019236,3.3228,1.366,8.27E-05,3.3826,1.4083,0.00010629,3.4927,1.4066,0.00014146
610,3.0856,1.1061,7.40E-05,3.3846,1.2579,0.00012716,2.9686,1.0151,6.25E-05,3.0627,1.0841,8.01E-05,3.3789,1.2134,0.00012596,2.9214,1.0301,4.39E-05,3.3403,1.2951,0.00012831,3.0477,1.0616,5.51E-05,3.0897,1.0956,7.08E-05,3.1888,1.0876,9.44E-05
615,2.7604,0.84268,4.99E-05,3.037,0.96328,8.66E-05,2.6492,0.76961,4.19E-05,2.7293,0.82455,5.42E-05,3.0513,0.92462,8.52E-05,2.6149,0.78593,2.96E-05,3.0079,0.99361,8.68E-05,2.7438,0.81034,3.72E-05,2.7703,0.83752,4.78E-05,2.8582,0.82623,6.38E-05
620,2.427,0.62946,0,2.6734,0.72147,0,2.325,0.57284,0,2.3947,0.61427,0,2.6999,0.69008,0,2.2972,0.58832,0,2.6576,0.74643,0,2.4239,0.60645,0,2.4374,0.62743,0,2.5166,0.61507,0
625,2.1029,0.46215,0,2.3158,0.53134,0,2.0132,0.41917,0,2.0506,0.45011,0,2.3621,0.50637,0,1.9963,0.43272,0,2.3156,0.551,0,2.1158,0.446,0,2.1182,0.46203,0,2.1822,0.45042,0
630,1.7574,0.33569,0,1.9395,0.38829,0,1.6802,0.30317,0,1.7003,0.32666,0,2.0104,0.3679,0,1.6863,0.31435,0,1.9488,0.40262,0,1.7868,0.32438,0,1.7791,0.33677,0,1.826,0.32668,0
635,1.4392,0.24065,0,1.5952,0.28012,0,1.3722,0.21644,0,1.3894,0.23407,0,1.6594,0.26384,0,1.3809,0.22535,0,1.6052,0.29031,0,1.4702,0.23282,0,1.4602,0.24228,0,1.4982,0.23395,0
640,1.1677,0.17016,0,1.3018,0.19913,0,1.1097,0.15236,0,1.1298,0.16499,0,1.3525,0.18627,0,1.117,0.1595,0,1.309,0.20668,0,1.1958,0.16493,0,1.1863,0.17209,0,1.2183,0.16489,0
645,0.93735,0.11808,0,1.044,0.13877,0,0.89075,0.10566,0,0.89779,0.11518,0,1.0914,0.1298,0,0.89785,0.11054,0,1.0541,0.14352,0,0.96422,0.11438,0,0.95402,0.1194,0,0.97813,0.11497,0
650,0.72598,0.083687,0,0.80697,0.098567,0,0.69076,0.074794,0,0.68722,0.081505,0,0.85983,0.091968,0,0.70563,0.078095,0,0.81961,0.10164,0,0.75433,0.081001,0,0.74257,0.084565,0,0.75726,0.081382,0
655,0.54875,0.058064,0,0.61164,0.068539,0,0.52149,0.051708,0,0.51765,0.056294,0,0.6564,0.063608,0,0.53639,0.054431,0,0.62195,0.071084,0,0.5731,0.056368,0,0.56301,0.05901,0,0.57292,0.056219,0
660,0.40925,0.039595,0,0.45662,0.046831,0,0.38866,0.035211,0,0.3851,0.038374,0,0.49153,0.04337,0,0.40059,0.037137,0,0.46484,0.04859,0,0.42846,0.038462,0,0.42038,0.040305,0,0.42749,0.038317,0
665,0.30146,0.026958,0,0.33581,0.03193,0,0.28648,0.023985,0,0.28247,0.026225,0,0.36359,0.029605,0,0.29611,0.025239,0,0.34274,0.033028,0,0.31653,0.02616,0,0.30995,0.027402,0,0.31481,0.026172,0
670,0.21942,0.018634,0,0.24404,0.022091,0,0.20868,0.016586,0,0.20464,0.018157,0,0.26598,0.020493,0,0.21653,0.017402,0,0.2497,0.022779,0,0.23114,0.018061,0,0.2259,0.018908,0,0.22906,0.018118,0
675,0.15763,0.012884,0,0.17504,0.015267,0,0.15004,0.011466,0,0.14624,0.012542,0,0.19213,0.014159,0,0.15638,0.012042,0,0.17955,0.015761,0,0.16661,0.012493,0,0.16254,0.01308,0,0.16449,0.012516,0
