,R,G,B
641,0.013795,0.00016899,0.00053705
642,0.013528,0.000155,0.00052667
643,0.013245,0.00014209,0.00051565
644,0.012947,0.00013019,0.00050405
645,0.012635,0.00011922,0.0004919
646,0.01231,0.00010912,0.00047927
647,0.011975,9.98E-05,0.00046621
648,0.011629,9.13E-05,0.00045276
649,0.011276,8.34E-05,0.00043899
650,0.010915,7.62E-05,0.00042494
651,0.010548,6.96E-05,0.00041068
652,0.010178,6.35E-05,0.00039625
653,0.0098042,5.79E-05,0.0003817
654,0.009429,5.28E-05,0.0003671
655,0.0090534,4.81E-05,0.00035247
656,0.0086786,4.38E-05,0.00033788
657,0.0083059,3.99E-05,0.00032337
658,0.0079362,3.63E-05,0.00030898
659,0.0075707,3.31E-05,0.00029475
660,0.0072103,3.01E-05,0.00028072
661,0.0068559,2.73E-05,0.00026692
662,0.0065083,2.48E-05,0.00025339
663,0.0061683,2.25E-05,0.00024015
664,0.0058365,2.05E-05,0.00022723
665,0.0055137,1.86E-05,0.00021466
666,0.0052002,1.68E-05,0.00020246
667,0.0048966,1.53E-05,0.00019064
668,0.0046032,1.38E-05,0.00017922
669,0.0043204,1.25E-05,0.00016821
670,0.0040483,1.13E-05,0.00015761
671,0.0037873,1.03E-05,0.00014745
672,0.0035373,9.27E-06,0.00013772
673,0.0032984,8.38E-06,0.00012842
674,0.0030707,7.56E-06,0.00011955
675,0.002854,6.83E-06,0.00011112
676,0.0026484,6.16E-06,0.00010311
677,0.0024535,5.55E-06,9.55E-05
678,0.0022693,5.00E-06,8.84E-05
679,0.0020955,4.50E-06,8.16E-05
680,0.0019319,4.05E-06,7.52E-05
681,0.0017782,3.64E-06,6.92E-05
682,0.001634,3.27E-06,6.36E-05
683,0.0014991,2.93E-06,5.84E-05
684,0.0013731,2.63E-06,5.35E-05
685,0.0012556,2.36E-06,4.89E-05
686,0.0011464,2.11E-06,4.46E-05
687,0.0010449,1.89E-06,4.07E-05
688,0.00095086,1.69E-06,3.70E-05
689,0.00086389,1.51E-06,3.36E-05
690,0.00078359,1.34E-06,3.05E-05
691,0.0007096,1.20E-06,2.76E-05
692,0.00064156,1.07E-06,2.50E-05
693,0.00057909,9.48E-07,2.25E-05
694,0.00052186,8.42E-07,2.03E-05
695,0.00046953,7.47E-07,1.83E-05
696,0.00042175,6.62E-07,1.64E-05
697,0.00037822,5.87E-07,1.47E-05
698,0.00033863,5.19E-07,1.32E-05
699,0.0003027,4.59E-07,1.18E-05
700,0.00027013,4.05E-07,1.05E-05
701,0.00024068,3.57E-07,9.37E-06
702,0.00021409,3.14E-07,8.34E-06
703,0.00019013,2.76E-07,7.40E-06
704,0.00016858,2.43E-07,6.56E-06
705,0.00014922,2.13E-07,5.81E-06
706,0.00013188,1.87E-07,5.13E-06
707,0.00011636,1.63E-07,4.53E-06
708,0.0001025,1.43E-07,3.99E-06
709,9.01E-05,1.25E-07,3.51E-06
710,7.92E-05,1.09E-07,3.08E-06
711,6.94E-05,9.47E-08,2.70E-06
712,6.07E-05,8.23E-08,2.36E-06
713,5.31E-05,7.15E-08,2.07E-06
714,4.63E-05,6.20E-08,1.80E-06
715,4.03E-05,5.37E-08,1.57E-06
716,3.51E-05,4.65E-08,1.36E-06
717,3.04E-05,4.01E-08,1.18E-06
718,2.64E-05,3.46E-08,1.03E-06
719,2.28E-05,2.98E-08,8.88E-07
720,1.97E-05,2.57E-08,7.67E-07
721,1.70E-05,2.20E-08,6.62E-07
722,1.46E-05,1.89E-08,5.70E-07
723,1.26E-05,1.62E-08,4.90E-07
724,1.08E-05,1.39E-08,4.21E-07
725,9.25E-06,1.18E-08,3.60E-07
726,7.92E-06,1.01E-08,3.08E-07
727,6.76E-06,8.60E-09,2.63E-07
728,5.77E-06,7.31E-09,2.25E-07
729,4.91E-06,6.21E-09,1.91E-07
730,4.17E-06,5.27E-09,1.62E-07
731,3.54E-06,4.46E-09,1.38E-07
732,3.00E-06,3.77E-09,1.17E-07
733,2.54E-06,3.19E-09,9.88E-08
734,2.14E-06,2.69E-09,8.34E-08
735,1.81E-06,2.26E-09,7.03E-08
736,1.52E-06,1.90E-09,5.92E-08
737,1.28E-06,1.60E-09,4.97E-08
738,1.07E-06,1.34E-09,4.17E-08
739,8.98E-07,1.12E-09,3.49E-08
740,7.51E-07,9.37E-10,2.92E-08
741,6.27E-07,7.82E-10,2.44E-08
742,5.22E-07,6.52E-10,2.03E-08
743,4.35E-07,5.42E-10,1.69E-08
744,3.61E-07,4.51E-10,1.41E-08
745,3.00E-07,3.74E-10,1.17E-08
746,2.48E-07,3.10E-10,9.66E-09
747,2.05E-07,2.56E-10,7.98E-09
748,1.69E-07,2.12E-10,6.59E-09
749,1.40E-07,1.75E-10,5.43E-09
750,1.15E-07,1.44E-10,4.47E-09
751,9.43E-08,1.18E-10,3.67E-09
752,7.73E-08,9.72E-11,3.01E-09
753,6.33E-08,7.98E-11,2.46E-09
754,5.17E-08,6.53E-11,2.01E-09
755,4.22E-08,5.34E-11,1.64E-09
756,3.44E-08,4.36E-11,1.34E-09
757,2.80E-08,3.56E-11,1.09E-09
758,2.27E-08,2.90E-11,8.85E-10
759,1.84E-08,2.36E-11,7.17E-10
760,1.49E-08,1.91E-11,5.81E-10
761,1.21E-08,1.55E-11,4.69E-10
762,9.73E-09,1.26E-11,3.79E-10
763,7.83E-09,1.02E-11,3.05E-10
764,6.30E-09,8.20E-12,2.45E-10
765,5.06E-09,6.61E-12,1.97E-10
766,4.06E-09,5.32E-12,1.58E-10
767,3.25E-09,4.28E-12,1.26E-10
768,2.59E-09,3.43E-12,1.01E-10
769,2.07E-09,2.75E-12,8.05E-11
770,1.65E-09,2.21E-12,6.41E-11
771,1.31E-09,1.76E-12,5.10E-11
772,1.04E-09,1.41E-12,4.05E-11
773,8.24E-10,1.12E-12,3.21E-11
774,6.52E-10,8.95E-13,2.54E-11
775,5.15E-10,7.12E-13,2.01E-11
776,4.06E-10,5.66E-13,1.58E-11
777,3.20E-10,4.49E-13,1.25E-11
778,2.52E-10,3.56E-13,9.79E-12
779,1.97E-10,2.81E-13,7.69E-12
780,1.55E-10,2.22E-13,6.02E-12
