,R,G,B
699,1.74E-06,1.04E-18,2.35E-08
700,1.31E-06,7.83E-19,1.76E-08
701,9.81E-07,5.86E-19,1.32E-08
702,7.32E-07,4.37E-19,9.83E-09
703,5.43E-07,3.24E-19,7.30E-09
704,4.01E-07,2.40E-19,5.40E-09
705,2.96E-07,1.77E-19,3.97E-09
706,2.17E-07,1.29E-19,2.91E-09
707,1.58E-07,9.45E-20,2.13E-09
708,1.15E-07,6.87E-20,1.55E-09
709,8.34E-08,4.98E-20,1.12E-09
710,6.01E-08,3.59E-20,8.09E-10
711,4.32E-08,2.58E-20,5.81E-10
712,3.09E-08,1.85E-20,4.16E-10
713,2.20E-08,1.32E-20,2.96E-10
714,1.56E-08,9.33E-21,2.10E-10
715,1.10E-08,6.59E-21,1.48E-10
716,7.77E-09,4.64E-21,1.04E-10
717,5.45E-09,3.25E-21,7.32E-11
718,3.80E-09,2.27E-21,5.11E-11
719,2.64E-09,1.58E-21,3.55E-11
720,1.83E-09,1.09E-21,2.46E-11
721,1.26E-09,7.53E-22,1.70E-11
722,8.66E-10,5.17E-22,1.16E-11
723,5.92E-10,3.54E-22,7.96E-12
724,4.03E-10,2.41E-22,5.42E-12
725,2.73E-10,1.63E-22,3.68E-12
726,1.85E-10,1.10E-22,2.48E-12
727,1.24E-10,7.42E-23,1.67E-12
728,8.32E-11,4.97E-23,1.12E-12
729,5.55E-11,3.32E-23,7.46E-13
730,3.69E-11,2.20E-23,4.96E-13
731,2.44E-11,1.46E-23,3.28E-13
732,1.61E-11,9.61E-24,2.16E-13
733,1.06E-11,6.30E-24,1.42E-13
734,6.90E-12,4.12E-24,9.28E-14
735,4.49E-12,2.68E-24,6.04E-14
736,2.91E-12,1.74E-24,3.91E-14
737,1.88E-12,1.12E-24,2.53E-14
738,1.21E-12,7.22E-25,1.62E-14
739,7.74E-13,4.62E-25,1.04E-14
740,4.93E-13,2.95E-25,6.63E-15
741,3.13E-13,1.87E-25,4.21E-15
742,1.98E-13,1.18E-25,2.66E-15
743,1.25E-13,7.45E-26,1.68E-15
744,7.83E-14,4.67E-26,1.05E-15
745,4.89E-14,2.92E-26,6.57E-16
746,3.04E-14,1.82E-26,4.09E-16
747,1.89E-14,1.13E-26,2.53E-16
748,1.16E-14,6.95E-27,1.56E-16
749,7.15E-15,4.27E-27,9.61E-17
750,4.37E-15,2.61E-27,5.88E-17
751,2.67E-15,1.59E-27,3.58E-17
752,1.62E-15,9.66E-28,2.18E-17
753,9.78E-16,5.84E-28,1.31E-17
754,5.89E-16,3.52E-28,7.92E-18
755,3.53E-16,2.11E-28,4.75E-18
756,2.11E-16,1.26E-28,2.83E-18
757,1.25E-16,7.49E-29,1.69E-18
758,7.42E-17,4.43E-29,9.98E-19
759,4.38E-17,2.61E-29,5.89E-19
760,2.57E-17,1.54E-29,3.46E-19
761,1.50E-17,8.98E-30,2.02E-19
762,8.76E-18,5.23E-30,1.18E-19
763,5.08E-18,3.04E-30,6.83E-20
764,2.94E-18,1.75E-30,3.95E-20
765,1.69E-18,1.01E-30,2.27E-20
766,9.68E-19,5.78E-31,1.30E-20
767,5.53E-19,3.30E-31,7.43E-21
768,3.14E-19,1.88E-31,4.22E-21
769,1.78E-19,1.06E-31,2.39E-21
770,1.00E-19,5.99E-32,1.35E-21
771,5.63E-20,3.36E-32,7.56E-22
772,3.15E-20,1.88E-32,4.23E-22
773,1.75E-20,1.05E-32,2.35E-22
774,9.71E-21,5.80E-33,1.31E-22
775,5.36E-21,3.20E-33,7.21E-23
776,2.95E-21,1.76E-33,3.97E-23
777,1.62E-21,9.65E-34,2.17E-23
778,8.81E-22,5.26E-34,1.18E-23
779,4.79E-22,2.86E-34,6.44E-24
780,2.59E-22,1.55E-34,3.48E-24
