,R,G,B
636,0.022114,6.56E-07,0.00078617
637,0.021722,5.28E-07,0.00077222
638,0.021279,4.24E-07,0.00075646
639,0.020788,3.40E-07,0.00073902
640,0.020254,2.72E-07,0.00072002
641,0.019679,2.17E-07,0.00069961
642,0.01907,1.73E-07,0.00067794
643,0.018429,1.37E-07,0.00065516
644,0.017762,1.09E-07,0.00063143
645,0.017072,8.61E-08,0.00060691
646,0.016364,6.79E-08,0.00058176
647,0.015644,5.35E-08,0.00055615
648,0.014915,4.20E-08,0.00053022
649,0.014181,3.30E-08,0.00050413
650,0.013446,2.58E-08,0.00047802
651,0.012716,2.01E-08,0.00045205
652,0.011992,1.57E-08,0.00042632
653,0.011279,1.22E-08,0.00040097
654,0.010579,9.44E-09,0.0003761
655,0.0098965,7.30E-09,0.00035182
656,0.0092326,5.63E-09,0.00032822
657,0.0085898,4.34E-09,0.00030537
658,0.0079702,3.33E-09,0.00028334
659,0.0073752,2.56E-09,0.00026219
660,0.0068062,1.96E-09,0.00024196
661,0.006264,1.49E-09,0.00022269
662,0.0057495,1.14E-09,0.00020439
663,0.0052628,8.64E-10,0.0001871
664,0.0048044,6.55E-10,0.0001708
665,0.004374,4.96E-10,0.0001555
666,0.0039713,3.74E-10,0.00014118
667,0.003596,2.82E-10,0.00012784
668,0.0032473,2.12E-10,0.00011544
669,0.0029245,1.59E-10,0.00010397
670,0.0026266,1.19E-10,9.34E-05
671,0.0023527,8.88E-11,8.36E-05
672,0.0021016,6.62E-11,7.47E-05
673,0.0018723,4.92E-11,6.66E-05
674,0.0016634,3.65E-11,5.91E-05
675,0.0014739,2.70E-11,5.24E-05
676,0.0013024,2.00E-11,4.63E-05
677,0.0011477,1.47E-11,4.08E-05
678,0.0010087,1.08E-11,3.59E-05
679,0.0008841,7.96E-12,3.14E-05
680,0.0007728,5.83E-12,2.75E-05
681,0.00067369,4.27E-12,2.40E-05
682,0.00058569,3.11E-12,2.08E-05
683,0.00050781,2.27E-12,1.81E-05
684,0.00043909,1.65E-12,1.56E-05
685,0.00037864,1.20E-12,1.35E-05
686,0.00032563,8.70E-13,1.16E-05
687,0.00027928,6.30E-13,9.93E-06
688,0.00023888,4.55E-13,8.49E-06
689,0.00020378,3.29E-13,7.24E-06
690,0.00017336,2.38E-13,6.16E-06
